x1,x2,x3,x4,y_predsr,y_test,y_pred
5.8,4.0,1.2,0.2,2.0364778836912136,2,2
5.1,2.5,3.0,1.1,2.253616076889459,3,2
6.6,3.0,4.4,1.4,2.011368103001012,3,2
5.4,3.9,1.3,0.4,1.852021493880764,2,1
7.9,3.8,6.4,2.0,1.2338486710829488,1,1
6.3,3.3,4.7,1.6,1.5348472383034921,3,1
6.9,3.1,5.1,2.3,1.356175959646091,1,1
5.1,3.8,1.9,0.4,1.803371438116232,2,1
4.7,3.2,1.6,0.2,2.3063741230885153,2,2
6.9,3.2,5.7,2.3,1.2410502053623542,1,1
5.6,2.7,4.2,1.3,2.0316903231843515,3,2
5.4,3.9,1.7,0.4,1.8267222481996257,2,1
7.1,3.0,5.9,2.1,1.5794774361948036,1,1
6.4,3.2,4.5,1.5,1.7230352879805706,3,1
6.0,2.9,4.5,1.5,1.837395181260188,3,1
4.4,3.2,1.3,0.2,2.237470484344515,2,2
5.8,2.6,4.0,1.2,2.2491710638630478,3,2
5.6,3.0,4.5,1.5,1.6430475314916857,3,1
5.4,3.4,1.5,0.4,2.2252562998503436,2,2
5.0,3.2,1.2,0.2,2.4195514417745074,2,2
5.5,2.6,4.4,1.2,2.1359937451770556,3,2
5.4,3.0,4.5,1.5,1.5844621494884494,3,1
6.7,3.0,5.0,1.7,1.7955053752623387,3,1
5.0,3.5,1.3,0.3,2.1126271229952724,2,2
7.2,3.2,6.0,1.8,1.6552980944706621,1,1
5.7,2.8,4.1,1.3,1.9901309398442248,3,1
5.5,4.2,1.4,0.2,1.7815964163217308,2,1
5.1,3.8,1.5,0.3,1.8977395338702316,2,1
6.1,2.8,4.7,1.2,2.138421685401851,3,2
6.3,2.5,5.0,1.9,1.9260813399202923,1,1
6.1,3.0,4.6,1.4,1.852255025152353,3,1
7.7,3.0,6.1,2.3,1.6044462592182205,1,1
5.6,2.5,3.9,1.1,2.343156229114988,3,2
6.4,2.8,5.6,2.1,1.5477568049683907,1,1
5.8,2.8,5.1,2.4,1.1964181658415205,1,1
5.3,3.7,1.5,0.2,2.102570651708359,2,2
5.5,2.3,4.0,1.3,2.3237547980714224,3,2
5.2,3.4,1.4,0.2,2.3111334294131156,2,2
